, case_id,province,city,group,infection_case,confirmed,latitude,longitude,distance
0,1000001,Seoul,Yongsan-gu,True,Itaewon Clubs,139,37.538621,126.992652,142.1260113611661
1,1000002,Seoul,Gwanak-gu,True,Richway,119,37.48208,126.901384,136.33447070751504
2,1000003,Seoul,Guro-gu,True,Guro-gu Call Center,95,37.508163,126.884387,139.35796101771123
3,1000004,Seoul,Yangcheon-gu,True,Yangcheon Table Tennis Club,43,37.546061,126.874209,143.63320910433674
4,1000005,Seoul,Dobong-gu,True,Day Care Center,43,37.679422,127.044374,157.69898786589502
5,1000006,Seoul,Guro-gu,True,Manmin Central Church,41,37.481059,126.894343,136.2788804292347
6,1000007,Seoul,from other city,True,SMR Newly Planted Churches Group,36,37.481059,126.894343,136.2788804292347
7,1000008,Seoul,Dongdaemun-gu,True,Dongan Church,17,37.592888,127.056766,148.10352455757308
8,1000009,Seoul,from other city,True,Coupang Logistics Center,25,37.592888,127.056766,148.10352455757308
9,1000010,Seoul,Gwanak-gu,True,Wangsung Church,30,37.481735,126.930121,136.09250021126448
10,1000011,Seoul,Eunpyeong-gu,True,Eunpyeong St. Mary's Hospital,14,37.63369,126.9165,153.00058710808273
11,1000012,Seoul,Seongdong-gu,True,Seongdong-gu APT,13,37.55713,127.0403,144.12487457533368
12,1000013,Seoul,Jongno-gu,True,Jongno Community Center,10,37.57681,127.006,146.3354154635216
13,1000014,Seoul,Gangnam-gu,True,Samsung Medical Center,7,37.48825,127.08559,136.54775387833334
14,1000015,Seoul,Jung-gu,True,Jung-gu Fashion Company,7,37.562405,126.984377,144.78685028655946
15,1000016,Seoul,Seodaemun-gu,True,Yeonana News Class,5,37.558147,126.943799,144.47785279744954
16,1000017,Seoul,Jongno-gu,True,Korea Campus Crusade of Christ,7,37.594782,126.968022,148.43186265563952
17,1000018,Seoul,Gangnam-gu,True,Gangnam Yeoksam-dong gathering,6,37.594782,126.968022,148.43186265563952
18,1000019,Seoul,from other city,True,Daejeon door-to-door sales,1,37.594782,126.968022,148.43186265563952
19,1000020,Seoul,Geumcheon-gu,True,Geumcheon-gu rice milling machine manufacture,6,37.594782,126.968022,148.43186265563952
20,1000021,Seoul,from other city,True,Shincheonji Church,8,37.594782,126.968022,148.43186265563952
21,1000022,Seoul,from other city,True,Guri Collective Infection,5,37.594782,126.968022,148.43186265563952
22,1000023,Seoul,Jung-gu,True,KB Life Insurance,13,37.560899,126.966998,144.67855463572155
23,1000024,Seoul,Yeongdeungpo-gu,True,Yeongdeungpo Learning Institute,3,37.520846,126.931278,140.41579093688398
24,1000025,Seoul,Gangnam-gu,True,Gangnam Dongin Church,1,37.522331,127.057388,140.27381124637904
25,1000026,Seoul,Yangcheon-gu,True,Biblical Language study meeting,3,37.524623,126.843118,141.57845251020302
26,1000027,Seoul,Seocho-gu,True,Seocho Family,5,37.524623,126.843118,141.57845251020302
27,1000028,Seoul,from other city,True,Anyang Gunpo Pastors Group,1,37.524623,126.843118,141.57845251020302
28,1000029,Seoul,Gangnam-gu,True,Samsung Fire & Marine Insurance,4,37.498279,127.030139,137.59436662866077
29,1000030,Seoul,Gangseo-gu,True,SJ Investment Call Center,0,37.559649,126.835102,145.52376843990754
30,1000031,Seoul,from other city,True,Yongin Brothers,4,37.559649,126.835102,145.52376843990754
31,1000032,Seoul,Jung-gu,True,Seoul City Hall Station safety worker,3,37.565699,126.977079,145.17482390810324
32,1000033,Seoul,from other city,True,Uiwang Logistics Center,2,37.565699,126.977079,145.17482390810324
33,1000034,Seoul,from other city,True,Orange Life,1,37.565699,126.977079,145.17482390810324
34,1000035,Seoul,Guro-gu,True,Daezayeon Korea,3,37.486837,126.893163,136.9271513451525
35,1000036,Seoul,from other city,False,overseas inflow,298,37.486837,126.893163,136.9271513451525
36,1000037,Seoul,from other city,False,contact with patient,162,37.486837,126.893163,136.9271513451525
